linkID,venue1,venue2
186,JLbgvGM4FXh9zNP4O5ZWjQ,sMzNLdhJZGzYirIWt-fMAg
117,LtPnsCPkCb41VG5fQr18IQ,G-GcMq-iVEENhjG3z1lZhA
125,RJO2xSE6-M_z8_tzLvonfw,cfnYxbg2O9EfOcB0Vt-cyg
16,kiUGm22HJh5nXuJX5JIAcw,50KEvLtQl9Vv4YE1vs681Q
279,ydM6JUPDxKq7Z5tcd1z2cA,4CXnWcTTgwBkkcQT6_6ppA
373,WKlMFUCGI7dCysGkFLWvaQ,bdNyoXY4yJ99derJRqhP3Q
13,hcFSc0OHgZJybnjQBrL_8Q,4jswtizEiT3-ZMauIzWXxg
267,55hh7ytRsWTEPC-66KJqGw,ZGm80bxEJc8fqV65syCtDA
447,uEzodpjckhsVQFfsXpFR0w,N56-LiN3xp3xEQbl0oRHjg
196,MwjZPmEoWlHy1rp7qrmBsw,jBKJMUcMuBmHqe5_U7GQ0Q
15,TH00_IqhT0bx_ujIcjtZ3w,GVPEk8fvR7_46_5lYch_4A
431,Q4WmBfRD6rcTSXVZqjKC5Q,rBko32y5vK13SD_sW3AG_g
465,WSAN2er3DhaZ8ybNStxCbw,cm69oeX7xQ-fT2L3ixQ42w
255,JPrnP6WFNaS-aN4mt0tlwQ,uCKrHFoZKKN70LrlBzNEyw
323,LaRDgOcsS0A4CvfwKkX3lw,uf_tGNDLES2s1eD2pPCwJw
11,S_1VtaSWcMsWHSLN1gIk6Q,Xt6xo-UmJhYtHiscwRnw0A
81,AkL6Ous6A1atZejfZXn1Bg,5lTcS8XNX5oGvtCToJgPDg
231,TZpTyyGvQkKPnt59PVUGhg,EDg6FM7MYcNMoqrSoWXUUw
332,LQFmktF43j2NPncKdNd9mg,wZ_p4m78dKfSallYY2CEIg
3,mx842y7Jy06Fqt692YtsCg,Bpcy-FBFtNUQVoBGT_Xuog
45,e9KXojla4OuVP7qcC5LNsg,3xckG-BBA7_ozunrtFRU3Q
429,t8ix9wrySnC0Tf4-pI12qA,FAYfi28nIgjM-Rpf--c7_Q
409,fC8Rn7NwpO7BptlnKaju2A,LTF14u6dfIyJQ41P-FooiA
203,kYPp1nY3ftFTl9oAq8zxOg,kOgOqwII2AOVN1WPb94-jQ
185,2jqUYcKMYZXnpxNTkORJgQ,7wPrb7-7JBzLSzNgqLXiZg
20,qddBAMIQ40y-RqgP2XFd2g,sMJAUZNU6u4iNvpmaLgx_g
371,rlFEKTaUgQqN4O9ow3LO9w,JXf04dg9EBlkQFs5hf4QeQ
396,45wDLpgW2BFrCRqlf19Efg,aEsQU7YmlhisVHTSLadeDQ
153,bdNyoXY4yJ99derJRqhP3Q,bXCWON2Me0o86qvAb-XZPQ
483,MwSQOs1VMvTY122Rgh349g,toEpYp-Hv8fMc3dW6RcJqA
206,tFlIJLmHoptaJufjGABmUw,m_zeXzkj3btfvRJiPVw8Ug
316,LsjYGLrWe6psx1y5m2J-4A,XAM8bZWsEKBTzOeTOz2qEA
448,9MPLntyNzhdUXpGT-h0HUw,iY35AnV-Rf4nY81qkiMLag
398,j54J0Ky4ruVbN_NTJ3daFg,XNWXyFgCGaAwvg9QML2Ypw
92,xYZefYQ777honVZnlcD3vQ,2DTdx7V0F9IAS7sZQuwylA
463,FQ612QJpz_yax-kfFtfR1g,vGQxPGvI4QLtupSAxO8c7Q
390,hG-DApl-ua15fbIqav7-IA,L1Mb8BRkj69o74YEryCHNA
86,sMJAUZNU6u4iNvpmaLgx_g,0QThBvFYadl5_t4P_rKd8Q
352,_Oe8NDjmeYkkHFs7f8CekA,L1KkmY4vTgCrS1J5aUFMtA
310,qXGKYRwCR9SLgLl0g_9o5g,8cyyRk-cqecyB1ctnRsR1A
122,WOuE6HtLVTRothIN-zy4Pw,hfcO6wtFcjW6I0omoQKRLA
248,tcnu9ivUsuQUNiz944bpOA,jo-KUnLZs0M2RYIvi8-DPQ
271,q3WM390QvPS-ncZkj2oQlQ,H6skMpg_g-sOrfTQf_Q5LQ
87,RYBGhnFtyZGjlREEfcRFrg,ymsa3ReIbctz4IFmPUgWDA
219,kolFb44M7k9c0-tZL2D_Cg,2YjWX5CghdcXiA6iMxRLlg
314,rgohunOzrrrgdZcxkQzCgQ,MwjZPmEoWlHy1rp7qrmBsw
417,424wVlPZT25l2aOmoNAnvA,0RhEds8SRYme4TbWZLuUxQ
163,Hb717wjzx1Q7cVXQo1-u2w,lNVg4jtfTEIAtOkA_0aEPQ
150,cPYdwElCHVU794t-Cs0ToQ,9ga2IoOSpO3GW5_-vRdbZA
420,BtcxknU-6axQwOhXvv9xkQ,tIjoGxi2r6QvREucvQwZpA
23,f2FfutZhb4F-m1Ob0EdYaw,K8M3OeFCcAnxuxtTc0BQrQ
151,sz6_gKcHjtcpWKIZLXV85w,XItYW5ul3OW_AqpT2nDbBQ
265,BcLFIr4wtd3GQ3fnz15yDQ,3D6Uck9QSdxZKFstf5DGlg
293,BcLFIr4wtd3GQ3fnz15yDQ,yZ_wpRr4Svw8YRZ9voCgIw
350,ZwuHsufvw1x5rd2c-qyw2w,w8G4-90lW2iUyG4N6hF9zQ
269,97o_YWmBhIjHFW7QEjdHwQ,KMNDr5f2UwjxJbTHnidZ6w
252,oLSulsv7zuFuBL92wFssJg,uO_OX2DXmzo2c72YpbXe1A
291,NaYaHDiCTZn_ZE5vpNw-Xg,of-a3UqUN5iz-ttBf0knig
412,wN-dlJcAUYKGGmA0ku2skg,QCZwZLYHkTyYQDr6jdjKjA
149,n6zdQZhSoT81cCgbBIB4NQ,odfX0wO7fOyqa8oobxh96w
474,kDp-fv1DqX90xcOzsFGvQw,sCODuHnzNW_s4BuxtqTCBA
96,2jwpM5qhFCf8rpW1LeG7lA,kfSruEib4pDAflIVuh0bLw
312,BHmWj2gagqO0_UHMvgOydw,E4U8RCe42CpT3rtof7hEwQ
105,zjQY2zj5hrZJUCE8Nyu2Zg,cKDql3YTCVyh2ljA21yE2A
180,9O-PjeUlUGx0h1URxeSTCg,id0K2DhGNocMRMoBcvCsyg
308,syJDAay5Huu3QWL51El2cA,Xh8hTDnDDuCAqL2Ulmrq7A
26,jDqaz1jKdeWk_fTVCzc1Pg,33_Cw3Ln_-d2HapzS-uSyw
136,pajvV_6xebKIE7GBh4Z1xA,EcRrGG_fLW21uyyKhVLnyA
311,5DpltRkGtV8AnYOlIAt-qA,L95ppCbcWAt4LUWrCiEvPg
64,X8AGCsJHw-GuTqkzy2J3cg,ry9MaSq_tpNODhYoIyA42Q
128,kkD0tv_e5E6a8kRpLYEcaA,7odNqxZDSR6ZVgxjp2r39A
329,Fpm3WvqtrAg2ueh_4pz7iA,aSb4vkaMh7K2lHhnV2UIag
88,BcLFIr4wtd3GQ3fnz15yDQ,zjOfUAyqyH_BPe7EkFBrEQ
35,mrKS7K6ljEOwOFdnhPawCA,hHgSUnDB9yIrxUEMSmsdoQ
388,rrysQBMgpCqhDZuM34vvwg,YhBigRwAFdRPIQxWDjZOrQ
430,I8_IT1qNKwu9RNftlk-ufw,TrZVtAQivYyGDOQH46_aFA
195,Eg4FCWK8MEbqSGoPbWMuaQ,KmFK7lwy-TlFOosOncFLcA
379,rBko32y5vK13SD_sW3AG_g,56worzbzO-fnU-0WDuabQg
181,X2lgI8CuVEsH5UDs14rMhw,PmUOjwWNzM3mCawHDcqFUA
223,gXpGMGBAv1lfQEcPOzahag,xcmmTXhuMx2fZF2Bt69F4w
490,ymsa3ReIbctz4IFmPUgWDA,BcLFIr4wtd3GQ3fnz15yDQ
155,tu8u4SnLvW3mcTS_aRdQ_w,53-Y3Jw20QV6TeDkRjSyJQ
422,462vn0tiPlmWRcP71yYOTQ,naxK-J2Ll3Hawz3DDBsTNg
303,ndzT1maiVwpz-7VFFzAb5Q,VgWvHMs5TJ2lr0ec2DaMtQ
462,5wr_UtUUdF8L2UlaD1DhNQ,-Z_-e5aK6MdL7_CzM9bKPA
391,NU-PreAU7pY-YOFbD2h79A,exSX-Sa63Lh8lLtPCs_tqw
82,6G3t042U69yzZ99_yvY3_A,8Aaw_0k5-MEAoXY_M_dbCw
58,cHcYk5bJn3Nh9ARJjQVq8Q,S8urdN6ACnRQUm-7o9An8w
468,WUPEnedS_8si30yy4lwcAQ,_dqtEOTelXt9tfmP_9Ar6w
183,lKom12WnYEjH5FFemK3M1Q,GUriQoD_GHo6DNJlR1_CrA
492,N9n4bj5nnuvVgt8iyT5YVg,F8C6rgTCNcJNzXqKU6K9SA
389,7RkcQem9jJFxvVU5TSJMdw,0f_Ndu0Dg_1I75Suz55KHQ
374,yJwHl1SyJkAz7xOxtCnqjg,szCcTSAzXJgerKtBgBBW5g
306,wKlH90YB5RYFvJ8N3pstVw,BcWzHjolvYAWvum7ouqEDg
148,s1zpHlAq5oigPL6vHlOR2Q,QtyvwZi6JiloDNEEH_ZxLQ
208,HG3ROmv3FJZTMJPpThSXOw,wY3dlpLa0BHfDENYAPYuZA
461,DhBg6eDK9aXGcnWCPWfJTA,lrWEpfID45MvNTw1z5bCJA
427,-wrqyj4pfZxwSagh4NY0vQ,vIHEp4EbzDs8CtA-Tf3Mkg
89,MDjkBFRwr2Xo5QXERP5Tzg,2DTdx7V0F9IAS7sZQuwylA
247,rjBSbp38B9SH2IoZogLEcg,_OYcKHdahMYv38u5Mksi4A
224,P6HDtlj1GSu9UG2Aal2PPg,ZMx9_sQydPUj5KGvcm73Sw
84,GvBGYrTb6HKMA50TuVQztA,MeiK5f6nofFUfpexlfN2CQ
95,c5CWmwh0-WFIjn8_V2DECQ,nBVpVb8cj6ermyxZAVTu4w
319,0PCBt3JKD6IooicImKNBzA,ROeCBwuy5lfHUo8v0SMwSg
59,UvXoEGA3I-60r980E-fa_w,1M6tA3TqxcpptHW0_hP9Kw
236,mRZCTkOgDc28VWYMvo3nVQ,QzmfYNf6Ns5dUHRhINda6A
102,-HeqTxBMPTi3A7QuU5PvgQ,Oy9xDxD-JtUzSurhOhboLg
432,u-A9gv_Q8CwLgjK8nxFxbA,jeOll8b1paa_9JDyOi-kXw
120,3bNH-ttVOqxTCEROxhjOLg,U_Rnw9Q1MuWM6Ht8dEK7Pg
480,ZeLSZRm_l0Aw7idB3_fKbA,Fr5R5w74Xg7sKMlt4PPtHg
201,LQFmktF43j2NPncKdNd9mg,RThuRlhMdowhtY8vITEIzQ
344,lNFdYbYSy_RY05Pf0-HTAw,jebHH3zb0Ekt643R78rDGg
482,xA6L2w_TlbxHubb1xeBE8w,80-1hn5fAJXFsxuyLe0w7A
28,CAQ55UaTBvXMl1yEUJXr9Q,mqiHZYNXnMLaEK87JZOzmA
351,j3IEZP4nQAt7fkxmerLMbA,93ZfzaU2Y3FDSW4-4EGvoA
34,plHKBwA18aWeP-TG8DC96Q,2dNjePYVp2AVei4ZoSDaaA
455,oFEO_v5PONo1EQ88Wafd2g,aJwVO17rF28WPCWes9qCkA
126,dLc1d1zwd1Teu2QED5TmlA,uKpVcOgdJ5fAjp-wA43XLA
226,cKDql3YTCVyh2ljA21yE2A,VpsXhgaBA7-65Gt2zg8Nkg
51,MsFj3NTvmhYNYS8Ef8HwFA,_OovTBKcSGNp-sekNjoGPA
338,Ciz1XpW1M2AtCS-gqv8GBQ,wY3dlpLa0BHfDENYAPYuZA
454,c5CWmwh0-WFIjn8_V2DECQ,nuMmehPFS5kI1_C9bBlK5A
75,ejaUQ1hYo7Q7xCL1HdPINw,1dhPgc7E7IzzpxjHM2LphQ
234,CTiWs36A_sX3eahdqrYxUQ,mRZCTkOgDc28VWYMvo3nVQ
399,TFdLM8R_7Pf1xVeBNKl0hg,CaBeF2NnFT-nCt8ocbfCCg
289,9Rmuwj-13bFD7i6-TGCdKw,YeFDbJeQCyLLibc7yQQWYQ
418,HjJp2tI4Xzs7MKyL31E0DA,gvmhnxxuS6BrPoIuBYd6dw
230,ejaUQ1hYo7Q7xCL1HdPINw,VSNUFYBQ_wOFmRXZ8SeQ4w
191,TPKkbzqzjgFMMVGYdNNYtw,R7eLlAdeIYsxux_Vm0l5sg
335,Z2NIEKTVVP2nEmOF4jNxqQ,b0msQb_XuGypkChg1ijh5Q
94,K5TpAn-DLtZPn7ZZxJDD9Q,-wrqyj4pfZxwSagh4NY0vQ
475,oPvYovnl06fy5W0e51zjMQ,_FH3osvpPRnMv-K2u6ZM3w
284,5VtT9Pf7zOBP2OD5xaKLYw,hbU9i9ajkai8OnTMxiMThA
459,40RqHzPLHxDX53R0aTWcwQ,_anMkOs2LhCPvH8T1Q9Cdw
161,gXzQb8auHnhNxJ9EF2F-tA,744R6SNxZvdRHZTWmkGOdw
451,OaoMk96U-BdwqaPb5HUAjA,NV9ftiLhePO0bNE1z8y6qw
263,zFI3KgNgBxVVZIjICzMMoA,WO3P5BpPHYB-zbDgJZOuCw
298,mJ_ucQ2_3hfTsmCcKb-hgw,pHDLRIG2Xu1_1mkGAbyEmw
232,ENcFskQBkRciPCULZrqTzg,OvucNX8kYnYpIGzZSvhQzA
494,cn9XZhWdC2vQbIXHNLaDFA,0-03lre4kbBG4wLlwDi9Mw
320,hf_6wAfO9h7HN-P3bUr2MA,HyhtvjJiNm0P8pmAfw88Ow
40,CS7DuVN2YkWDU7aoeFj-og,5p60nXyjQruKvEZix6ahVQ
421,NrS4daTaivfO0AxT8-9Ung,EGHg2H4PteBZ8w2dff9v7g
499,6KnKTl4h-RjZfVjmrVyodQ,Dz48AHU652_zg43sBPRb9w
317,DbWXgA2kQH5K_XzkvluBGw,p_wPhw_MXIJhLEzkxtQt3Q
405,jZOiACYhr7wP0zNnQL4LFg,usFNFsaaHFxEbnBO4FaFHA
69,-CfqFIH6rxUxJL9gR-k_XA,hWzbOi1-eS8PmPyZRV8Lew
370,av_-ePHJwSSqMtTQbNoL7g,yhoCIkTwHihWejVqGYZ4rw
218,8B1Hi9253IICz8-5Aw5qrw,0QThBvFYadl5_t4P_rKd8Q
382,Jg4iMxNVtryk-Y7BbfebMQ,QmTb7f_oeM7o6DLIQ2I2Jg
425,mKqgZTqL4qooW0aw7IJScA,P1a2WApEoMb65s14RmqV2g
449,FM_JfwjnkGJw5PPuWHK6-g,LotwXDcHQmt4usltEvw_PQ
477,QxRKQ_Lzu4lMOejwVgcdAg,NtpdFakRhkqtQ85PIraSJA
437,VrN8EQAEElyJXvu2jdzQ_w,hFuhiLDa9uHjg4fZHjI8NQ
386,SHiJlYdxQmJur3i-gLf9MQ,XNWXyFgCGaAwvg9QML2Ypw
129,ImeQQr-P4PJBExMfeEpdAQ,NQHDN1JzG-heuyrSkT9R9w
270,d4ZB29APb1QbAnGLATFJ0g,jTlcLfsSDGnHcbjL1aD9Zw
198,F24HrvjZhwgiG4qT8GLJZA,5h7ra0kJKswSZEzbFSIpaw
313,jP07A_fgj-Q7UVYAG0SqGA,Bj8SZok_fBDxzHYE4Z_0kA
73,JlnDcCfvrmo_cv8OOzhuoQ,GOfZLTlXr4db-_zKr6SlmA
30,Czy8C0X-JYzmEvP_yLyoPQ,VYxW2QJHBEsPl_KUwd3aww
376,nDM3b0KwUUKlQ2Lz1bR9tw,KlmsNi7qiQgC6yznyA0M0g
4,Dupmn0hAPRE82e0ZttfRSA,GOIXvr3ffmmPLKIwVnILeg
309,qpjEu9iBBzIrBGCD-6ENMg,wY3dlpLa0BHfDENYAPYuZA
114,sLkqUj7FAKDWKOR5MvQjEw,kzCG-KC3YVrQs7l-0d0b1w
481,BrrQhMmsIHLqraZ1VuJ7Pw,VWtI26Mu69IrG0nugb23lg
47,0Db7vd1NK4wRKKaVyyvuJw,sid1Wu5Z4v6yiHacGZdUeQ
297,pgRaCEwOuWv1J9YhEKBXhw,hHgSUnDB9yIrxUEMSmsdoQ
300,cNCXUYQd3kFR_AyfjTejQQ,3kPqtmL3EdfhCwxfIHT_iQ
238,2VRVAhzefxIqjzbQ21LdHg,Xt6xo-UmJhYtHiscwRnw0A
52,YZvaybK5UzKMCnNQwsMrWg,agw-HMNWmkIML6obP-EBDA
433,8CCOH5A-ZNTgeK9rUOWejQ,3nDxqHvf7L5AdEAAeMaQAg
341,vwlD-QrL_13_3Gk7i3fqoQ,VeYWXO1AaqIwpnyPUMckxQ
361,MwsGayIlUkXQ46mkmV3jlA,1FDhJNAuPXRGbMi9x0muGA
168,g79Oko2vvKDU6PpdsNkZzw,SVBBmu5FddvnYNmbJLo6cw
355,LotwXDcHQmt4usltEvw_PQ,ddouZi236BpT15DzXjRHiA
60,REfM-TpPnDSpgAMB_puQbw,XjAb0mxgCtq96pWWJjUBAg
353,37ZUkggFxGPq9CHEIpKFbw,IhCgS63KdIuQC6I7qZJLzg
220,7mU3l5VjH1IxsXcxBxUblg,vMt33XElVfSFDB3yMY8-0Q
17,XuVosWbOWI8I2bLNS7oYyA,5oA6zlmJ4jQREDH6dNCq6w
488,sMJAUZNU6u4iNvpmaLgx_g,mt9mrG8wALTzD3YYGim3mQ
90,50XY4Y8-XJZrm-FlKQBmZg,e1lmVr0CJEwc8zigJjb_VQ
57,usFNFsaaHFxEbnBO4FaFHA,X88w0XrUSIKue9Vuwtqs_g
98,j3IEZP4nQAt7fkxmerLMbA,Zd9VJFJjfaadaJmCMFv-RQ
62,F24HrvjZhwgiG4qT8GLJZA,TFdLM8R_7Pf1xVeBNKl0hg
239,a-ZcynZic4jIrpf9Pp7yaQ,QcxB4grIr-bLSqqydTV6Ag
39,AGztN3eVZPqEWXlDM1A2dw,jemRU9DvmS0WGZuZ-k3jCQ
166,2F8povaKEaqieQhzFSKwQg,KY8J9dIOKD2vL0jdzUiuhg
275,TCL-2Mi_mZyHjEO9haiD2A,RWfKjRMjie6xZHvMbWhBlA
118,cHcYk5bJn3Nh9ARJjQVq8Q,CAQ55UaTBvXMl1yEUJXr9Q
384,5uUNZQrt1aue-S5trmjMqw,ly-slsCrHbIlCAc2dHXk5Q
249,XYLWw79LaA0gPwYF0Gm4Ww,4Sw949z60DupwinXF14IpA
182,gXpGMGBAv1lfQEcPOzahag,cWsgD-u_TvTohsx6LSi9aQ
178,4PsP9BzAI4nmO0i0bn6faQ,duLX4_JeYe8N6xNzs9l-hg
97,mhoCmyg9E5qPXY31zig78g,-j0CbYvlwuJ3Tfx__X38gA
143,SmkYLXEYhzwUZdS6TAevHg,zZ7KDK3GAkBUZzsaqB1A4Q
170,QZx8vWP9FiojherUMB9VuA,IDD-jWCIw52KdhUEk9x01g
242,OtXY4iRnA5M1g1L0hifEbA,rcccYhFcEBa8Tvkkf-zyhA
473,LXrSnbUlEnw_fI7A2Dpp9Q,l3i9ECjDR_rvS05MzHGoEQ
190,2wFoMN7J0_X42dUG3Qa3iw,KssqXkZ_D9kSsONH3AQeAQ
50,K3lYaKPdaBim-LCOcmi6Jg,mt9mrG8wALTzD3YYGim3mQ
413,ZxUgo2Nexm6IYbMdj3FlRg,oxABKl7Ol44cHxe7LfC-bA
331,7z2x16M7IuG8KPfMsyVrKA,AKQbrvRBZvU5kB9Ut4gVkg
278,L0DJ7-GUDMLIlIR-7vykvQ,3eexaenBq8HvkTiYjVl3Pg
227,tjSajNY1iVGktBUbkvycpw,RFoh5YBjtBHPSsZjocajhw
131,KTCYmgak5gOmTY837O41lg,e1UamnCdP9DdJRF6kOk80g
393,kiz4xELBxC8tQtr4uBtM3A,lLtUvQCx4HjZHFF9y_K-TA
258,oIaGvJYUwbsa3jB2L4J-bw,sMzNLdhJZGzYirIWt-fMAg
436,OMDwr7UnZrsjuocg3aLlMw,0pi1DQ3N8gC6jhdHfDWEMA
